name;template;extension
javascript;application/javascript;js
json;application/json;json
jsonp;application/javascript;jsonp
html;text/html;html
css;text/css;css
gif;image/gif;gif
jpeg;image/jpeg;jpg
jpeg;image/jpeg;jpeg
png;image/png;png
svg;image/svg+xml;svg
mp4;video/mp4;mp4
ogg;application/ogg;ogv
font-woff;application/font-woff;woff
font-woff2;application/font-woff2;woff2
font-eot;application/vnd.ms-fontobject;eot
font-ttf;font/opentype;ttf
ico;image/vnd.microsoft.icon;ico
swf;application/x-shockwave-flash;swf
webm;video/webm;webm
text;text/plain;txt
pdf;application/pdf;pdf
